Unidad;poco;tipo
L06 QP;;Terreno
L07 QP;;Terreno
L08 QP;;Terreno
L09 QP;;Terreno
L10 QP;;Terreno
L11 QP;;Terreno
L12 QP;NÃO;Residência
L13 QP;;Terreno
L14 QP;;Terreno
L15 QP;NÃO;Residência
L16 QP;;Terreno
L17 QP;NÃO;Residência
L01 QQ;;Terreno
L02 QQ;NÃO;Residência
L03 QQ;NÃO;Residência
L04 QQ;;Terreno
L05 QQ;;Terreno
L06 QQ;NÃO;Residência
L07 QQ;;Terreno
L08 QQ;NÃO;Construção
L09 QQ;;Terreno
L10 QQ;;Terreno
L11 QQ;SIM;Residência
L12 QQ;;Terreno
L13 QQ;;Terreno
L14 QQ;;Terreno
L15 QQ;;Terreno
L16 QQ;;Terreno
L17 QQ;;Terreno
L01 QR;;Terreno
L02 QR;NÃO;Residência
L03 QR;;Terreno
L04 QR;;Terreno
L05 QR;;Terreno
L06 QR;;Terreno
L07 QR;;Terreno
L08 QR;NÃO;Residência
L09 QR;;Terreno
L10 QR;NÃO;Construção
L11 QR;;Terreno
L12 QR;NÃO;Residência
L13 QR;NÃO;Residência
L14 QR;;Terreno
L15 QR;;Terreno
L16 QR;NÃO;Residência
L17 QR;;Terreno
L01 QS;;Terreno
L02 QS;;Terreno
L03 QS;;Terreno
L04 QS;NÃO;Residência
L05 QS;;Terreno
L06 QS;;Terreno
L07 QS;;Terreno
L08 QS;;Terreno
L09 QS;;Terreno
L10 QS;;Terreno
L11 QS;;Terreno
L12 QS;NÃO;Residência
L13 QS;;Terreno
L14 QS;;Terreno
L15 QS;;Terreno
L16 QS;;Terreno
L17 QS;NÃO;Residência
L01 QT;SIM;Residência
L02 QT;NÃO;Residência
L03 QT;;Terreno
L04 QT;NÃO;Residência
L05 QT;;Terreno
L06 QT;SIM;Residência
L07 QT;;Terreno
L08 QT;;Terreno
L09 QT;;Terreno
L10 QT;;Terreno
L11 QT;NÃO;Residência
L12 QT;;Terreno
L13 QT;;Terreno
L14 QT;;Terreno
L15 QT;;Terreno
L16 QT;;Terreno
L01 QU;NÃO;Residência
L02 QU;;Terreno
L03 QU;NÃO;Residência
L04 QU;;Terreno
L05 QU;;Terreno
L06 QU;;Residência
L07 QU;NÃO;Residência
L08 QU;;Terreno
L09 QU;SIM;Residência
L10 QU;;Terreno
L11 QU;;Terreno
